book_num,chap_num,term_str,n,tfidf
1,1,is,7,0.001597461030416709
1,1,it,11,0.0
1,1,its,4,0.001842733067636566
1,1,itself,1,0.005981869588571726
1,1,join,1,0.017017282685060822
1,1,judge,1,0.022512368207606444
1,1,judged,1,0.04121861822004017
1,1,judgment,1,0.010843084116100401
1,1,juncture,1,0.04983930787521258
1,1,just,2,0.004444788921855978
1,1,justly,1,0.017017282685060822
1,1,laid,1,0.02397723890969534
1,1,large,1,0.011974502506430165
1,1,latter,1,0.025637972340233236
1,1,leave,1,0.01321924310414719
1,1,less,3,0.010960544195859723
1,1,lessons,1,0.025637972340233236
1,1,liberties,2,0.04502473641521289
1,1,liberty,1,0.003960617402045666
1,1,life,1,0.002495746699956767
1,1,light,1,0.015356549254522926
1,1,lights,1,0.029822686367562908
1,1,limited,1,0.015356549254522926
1,1,little,1,0.011395931852477262
1,1,local,1,0.011395931852477262
1,1,love,2,0.017697796747606746
1,1,made,1,0.003653514731953241
1,1,magnanimous,1,0.04121861822004017
1,1,magnitude,1,0.025637972340233236
1,1,many,1,0.003960617402045666
1,1,maxims,1,0.04121861822004017
1,1,may,6,0.00563453645964641
1,1,me,8,0.019965973599654137
1,1,means,1,0.006353151673846605
1,1,measures,3,0.04380767773123242
1,1,meet,1,0.007960161365492133
1,1,men,1,0.0027752421973048476
1,1,might,2,0.015920322730984267
1,1,mind,1,0.009806064859913234
1,1,misdirect,1,0.04983930787521258
1,1,mislead,1,0.04983930787521258
1,1,model,1,0.032597928564867755
1,1,month,1,0.04983930787521258
1,1,morality,1,0.029822686367562908
1,1,more,8,0.009483001637926553
1,1,most,3,0.007487240099870301
1,1,motives,1,0.022512368207606444
1,1,much,1,0.005270988897261613
1,1,must,3,0.005079238262159569
1,1,my,22,0.010135031872001113
1,1,myself,4,0.05287697241658876
1,1,nation,2,0.0023707504094816383
1,1,national,1,0.003061163438125532
1,1,nations,1,0.0016930794207198564
1,1,nature,3,0.03418779555743179
1,1,necessary,2,0.017697796747606746
1,1,never,2,0.006122326876251064
1,1,new,1,0.002222394460927989
1,1,no,8,0.003685466135273132
1,1,none,1,0.01321924310414719
1,1,nor,2,0.00986045427406396
1,1,not,4,0.0009128348745238336
1,1,notification,1,0.04983930787521258
1,1,now,1,0.0014366368052538903
1,1,obedience,1,0.021201996712390495
1,1,objections,1,0.029822686367562908
1,1,objects,2,0.027783357104868053
1,1,observations,1,0.03617583804140951
1,1,occasion,1,0.009318275822272133
1,1,occasional,1,0.03617583804140951
1,1,of,71,0.0
1,1,official,2,0.03786891746212937
1,1,omit,1,0.04983930787521258
1,1,on,15,0.006910249003637123
1,1,once,1,0.012581307057218081
1,1,one,4,0.009982986799827068
1,1,opportunities,2,0.04003324301529935
1,1,or,5,0.0023034163345457075
1,1,ordained,1,0.03617583804140951
1,1,order,2,0.015920322730984267
1,1,ordinary,1,0.022512368207606444
1,1,originated,1,0.04121861822004017
1,1,other,1,0.0011853752047408191
1,1,ought,4,0.04789801002572066
1,1,our,1,0.0002282087186309584
1,1,out,1,0.0045985534489747775
1,1,over,2,0.009197106897949555
1,1,overwhelm,1,0.04121861822004017
1,1,own,2,0.0018781788198821367
1,1,palliated,1,0.04983930787521258
1,1,parent,1,0.032597928564867755
1,1,partiality,1,0.03617583804140951
1,1,particular,2,0.04240399342478099
1,1,party,1,0.008848898373803373
1,1,past,1,0.007960161365492133
1,1,patriotism,1,0.012581307057218081
1,1,peculiarly,2,0.06519585712973551
1,1,pecuniary,2,0.059645372735125816
1,1,people,4,0.001842733067636566
1,1,perfect,1,0.016159216533759835
