term_str,x,y,n,dfidf,pos_group
beyond,-5.417158,5.9602065,57,27.714749706752166,IN
bill,-1.7205558,-2.2152758,13,19.17838327682102,NN
bind,3.325269,-2.2211573,11,25.541209043760983,VB
birth,2.0151637,1.800151,16,26.35676655364204,NN
bless,-1.3539894,10.038381,14,23.502912408741125,NN
blessed,5.989466,3.0418057,13,25.541209043760983,VB
blessing,-5.257656,-3.280084,11,25.541209043760983,NN
blessings,9.658213,-14.39044,40,29.188632372745946,NN
blood,11.168424,-20.756308,13,25.541209043760983,NN
body,7.4492264,-21.589766,39,29.135211801540407,NN
bold,-5.3606896,9.82864,11,22.250877708197276,JJ
bonds,8.018745,-20.454111,16,27.051959939986375,NN
born,-10.012417,7.8548493,13,26.35676655364204,VB
both,3.953342,-8.26786,107,26.23407353748423,DT
bound,3.6241727,0.17099664,16,27.636067080538773,VB
branch,9.456028,-22.773605,18,25.541209043760983,NN
branches,-0.094392054,-7.777726,14,26.35676655364204,NN
bring,-3.2693834,11.294129,38,27.714749706752166,VB
british,5.194588,-2.3171103,10,17.297158093186486,JJ
broad,0.00023708679,-14.375505,10,22.250877708197276,JJ
brought,-5.1999273,19.536314,18,27.636067080538773,VB
build,-5.5666127,6.043193,19,26.35676655364204,VB
building,-3.9155095,3.7393937,15,23.502912408741125,VB
built,-4.7371655,19.413435,15,23.502912408741125,VB
burden,-7.261485,8.291958,19,28.117036768742114,NN
burdens,6.7930713,-14.427273,19,27.051959939986375,NN
business,3.530082,-15.554085,65,28.796246828663442,NN
but,-9.247673,27.382118,608,1.4294994135043235,CC
by,13.072818,-24.323738,1060,0.0,IN
calculated,2.6434207,9.804004,10,23.502912408741125,VB
call,-1.4284067,5.5107017,38,28.437588093748378,NN
called,-4.8485813,21.687801,58,25.642065497271314,VB
calling,-6.905575,8.43327,10,24.59431618637297,VB
came,-1.2037325,12.187764,25,28.796246828663442,VB
can,-9.469988,29.902508,494,2.832280724957402,MD
capacity,8.599459,-13.035937,22,28.117036768742114,NN
capital,2.408135,0.78593713,20,26.35676655364204,NN
care,2.2605767,-3.7185738,37,28.929348421755872,NN
careful,-7.3645096,10.068141,12,23.502912408741125,JJ
carried,-3.191479,16.489779,14,23.502912408741125,VB
carry,-7.995521,18.354662,28,29.135211801540407,VB
case,-3.081806,7.5341067,26,24.59431618637297,NN
cases,-1.9993616,6.7613797,14,22.250877708197276,NN
cause,5.6931243,-13.765335,57,28.103919879972757,NN
causes,3.0329566,3.1971457,20,24.59431618637297,NN
cease,-7.947012,24.70068,11,22.250877708197276,VB
celebrate,-1.4219869,16.366913,12,20.818033540269386,VB
centuries,7.955707,-14.861109,13,25.541209043760983,NN
century,8.912093,-19.47541,59,29.082418087521972,NN
ceremony,-0.5550511,10.122402,10,20.818033540269386,NN
certain,-3.0790482,12.265643,35,28.929348421755872,JJ
certainly,-9.713978,21.795107,13,23.502912408741125,RB
challenge,-4.475883,-2.5927536,17,25.541209043760983,NN
challenges,-6.895853,6.295155,12,19.17838327682102,NN
chance,0.21375442,1.8098717,18,26.35676655364204,NN
change,-3.2708483,18.605927,65,28.929348421755872,NN
changed,-0.4765905,10.990157,12,22.250877708197276,VB
changes,-1.3222725,4.468653,17,26.35676655364204,NN
character,6.9479704,-18.545061,58,27.714749706752166,NN
cheerfully,-9.362255,17.839762,14,24.59431618637297,RB
cherish,-2.4449778,10.631932,16,27.051959939986375,VB
cherished,-3.1758423,15.058346,10,23.502912408741125,VB
chief,6.2865825,-14.446529,34,27.272134161077553,NN
children,-6.883555,1.9377768,44,29.135211801540407,NN
choice,-7.6153307,15.37352,20,25.541209043760983,NN
chosen,-2.333438,19.397549,22,28.796246828663442,VB
circumstances,4.2125216,-0.9612325,42,29.188632372745946,NN
cities,12.498334,-17.080465,10,23.502912408741125,NN
citizen,9.890206,-19.50638,54,28.713533107284082,NN
citizens,9.573429,-25.013842,146,17.376116065169615,NN
citizenship,3.527195,-8.055277,28,27.636067080538773,NN
civil,8.798917,-22.019306,52,26.777982833515537,JJ
civilization,1.7536998,-3.6723278,38,29.188632372745946,NN
civilized,5.37001,-17.74419,11,24.59431618637297,JJ
claim,-5.5352607,9.024265,18,25.541209043760983,NN
claims,-0.2399794,2.5386987,10,19.17838327682102,NN
class,0.68700546,-1.6663629,18,26.35676655364204,NN
classes,2.4706318,-11.358442,10,17.297158093186486,NN
clear,-8.450717,22.788517,31,28.713533107284082,JJ
clearly,-5.5229144,7.021123,22,29.00582481748225,RB
close,-4.782915,1.3079761,14,27.636067080538773,NN
coast,2.2905622,-10.47715,17,17.297158093186486,NN
combinations,4.1714354,-18.600199,12,20.818033540269386,NN
come,-11.905235,23.249943,71,23.592493657326887,VB
comes,7.246367,2.0991933,11,20.818033540269386,VB
comfort,8.133403,-4.642177,12,24.59431618637297,NN
coming,-2.0329888,3.8422272,13,24.59431618637297,VB
command,-7.903192,-3.6593785,15,27.051959939986375,NN
commerce,8.681788,-21.368685,62,27.714749706752166,NN
commercial,7.567844,-12.639939,17,23.502912408741125,JJ
commitment,-8.762544,8.857045,11,20.818033540269386,NN
committed,-4.161569,20.23062,19,28.117036768742114,VB
common,8.788719,-22.734465,80,23.592493657326887,JJ
communism,-0.42806113,5.0275626,10,15.125438854098638,NN
communities,8.002716,-6.4262123,24,28.117036768742114,NN
community,5.1049166,-8.184168,33,29.188632372745946,NN
competent,-2.746557,1.9305699,12,23.502912408741125,NN
complete,9.496981,-9.084653,21,27.051959939986375,JJ
compromise,-5.697302,-1.5510124,10,22.250877708197276,NN
concern,-5.1751804,11.842195,21,27.051959939986375,NN
concerns,7.957305,-17.85573,17,27.051959939986375,NN
concession,4.2384996,-7.8201184,11,20.818033540269386,NN
condition,8.580795,-23.165335,48,29.188632372745946,NN
conditions,-1.1550447,-2.5123954,34,28.117036768742114,NN
conduct,2.0136375,-8.058139,31,29.188632372745946,NN
confederacy,9.115695,-8.154756,19,22.250877708197276,NN
confidence,3.6372015,-8.300951,84,18.37726474549189,NN
confidently,-2.3865383,22.125153,11,22.250877708197276,RB
conflict,-2.631042,9.42129,21,28.501755416394552,NN
congress,3.4974773,-21.109077,128,27.714749706752166,NN
connected,-8.719649,6.4244943,16,22.250877708197276,VB
conscience,7.642409,-14.058419,24,29.135211801540407,NN
conscious,-6.147004,21.838278,10,23.502912408741125,JJ
consciousness,0.023924403,0.20031393,12,22.250877708197276,NN
consent,2.998269,-12.201768,12,20.818033540269386,NN
consequences,-4.525833,12.300667,16,26.35676655364204,NN
consider,-7.0651765,20.925417,19,25.541209043760983,VB
consideration,-1.2891524,3.3963418,29,28.117036768742114,NN
considered,-7.136541,18.24926,15,27.051959939986375,VB
consistent,-2.3092303,-4.7510147,13,24.59431618637297,JJ
constant,-3.1457233,7.977773,26,28.501755416394552,JJ
constantly,-6.1637564,20.548492,16,27.051959939986375,RB
constituted,-1.1018865,1.6319971,11,20.818033540269386,VB
constitution,12.170007,-28.096922,206,22.011649634964495,NN
constitutional,5.7280416,-13.751471,53,28.713533107284082,JJ
construction,7.917468,-18.956097,16,23.502912408741125,NN
contemplate,-6.0338383,17.243237,10,23.502912408741125,VB
contest,5.8598385,-12.562797,14,23.502912408741125,NN
continent,0.0265816,-6.5656734,20,28.501755416394552,NN
continuance,5.2508683,-21.168873,15,24.59431618637297,NN
continue,-9.7614,24.935677,49,27.714749706752166,VB
continued,1.3683932,7.12758,20,29.00582481748225,VB
contrary,-2.7620997,18.037199,12,22.250877708197276,JJ
contributed,-2.128938,19.742939,13,20.818033540269386,VB
